Bara döda fiskar följer strömmen.,Only dead fish follow the stream.,Foolish people mindlessly copy others.
"Barn gör som du gör, inte som du säger.","Children do as you do, not as you say.",
Behandla andra som du själv vill bli behandlad.,Do unto others as you would have them do unto you.,
Blod är tjockare än vatten.,Blood is thicker than water.,
Blott Sverige svenska krusbär har.,Only Sweden has Swedish gooseberries.,Sweden is a unique country.
Borsta framför din egen dörr först.,Sweep your own doorstep clean.,
Borta bra men hemma bäst.,Away is good but home is best.,
Bra karl reder sig själv.,Every bird must hatch its own eggs.,Avoid being dependent on others.
Bränt barn skyr elden.,"Once bitten, twice shy.",
Bättre brödlös än rådlös.,Better short of pence than short of sense.,
Bättre dåligt minne än dåliga minnen.,Poor memory is better than bad memories.,Don’t dwell on past mistakes and bad experiences.
Bättre ett ärligt nej än ett falskt ja.,Rather an honest ‘no’ than an insincere ‘yes’.,Telling a bitter truth is usually better than lying.
Bättre förekomma än förekommas.,The best defense is a good offense.,"If you attack your opponents, they will be so busy fighting off your attack that they will not be able to attack you."
Bättre en fågel i handen än tio i skogen.,A bird in the hand is worth two in the bush.,Value the things you already have more than the things you might never get.
Bättre ensam än i dåligt sällskap.,Better alone than in bad company.,
Bättre fly än illa fäkta.,He who fights and runs away may live to fight another day.,
Bättre sent än aldrig.,Better late than never.,
Bättre stämma i bäcken än i ån.,An ounce of prevention is worth a pound of cure.,Be proactive about preventing bad things from happening; defects are best taken care of at an early stage.
Bättre tiga än illa tala.,Man more often repents what he did say than he did not.,
Bättre älskat och förlorat än att aldrig ha älskat.,Tis better to have loved and lost than to have never loved at all.,
Bäst att smida medan järnet är varmt.,Strike while the iron is hot.,
Bäst bli klok av annans skada.,"Wise men learn by other men’s harms, fools by their own.",
