Efter regn kommer solsken.,It’s a long lane that has no turning.,Hard times seldom last forever.
Efteråt är intet råd.,Advice comes too late when a thing is done.,
Egen härd är guld värd.,There is no place like home.,
Eget beröm luktar illa.,Don’t blow your own horn.,
Elda inte för kråkorna.,Don’t light a fire for the crows.,Don’t waste resources.
En dålig hantverkare skyller på sina verktyg.,A poor craftsman blames his tools.,
En gnutta osaklighet sparar tonvis med förklaringar.,An ounce of lying saves tons of explanations.,
En kedja är inte starkare än dess svagaste länk.,A chain is only as strong as its weakest link.,A weak part or member will affect the success or effectiveness of the whole.
En knuten näve kan varken ge eller ta.,Better bow than break.,"It is better to make some confession, or pay a little deference to others, our neighbors, friends, acquaintances, and especially our superiors, rather than lose our credit or break friendship."
En plats för var sak och var sak på sin plats.,A place for each thing and each thing in its place,
En gång är ingen gång.,One time is no time.,
"En gång, ingen gång — två gånger, en vana.","One time, no time—two times, a habit.",
En olycka kommer sällan ensam.,Misery loves company.,
En svala gör ingen sommar.,One swallow does not a summer make.,"Do not feel sure or rejoice noticing a favourable sign. The appearance of a single sign of a favourable event is not yet a definite indication of its coming. It may be an unrelated, sporadic appearance."
En vandring på tusen mil börjar alltid med ett steg.,A journey of a thousand miles always begins with a single step.,
Ensam är stark.,Alone is strong.,You can accomplish a lot on your own.
Envar är sin egen lyckas smed.,Every man is the smith of his own fortune.,"In shaping one’s own fortune one should not rely on the help of others, as they are also concerned mainly about their own matters."
Ett gott skratt förlänger livet.,A hearty laugh lengthens your life.,
Ett mjukt svar stillar vreden.,A soft answer calms the wrath.,
Ett rent samvete är bästa huvudkudden.,A good conscience is a soft pillow; A safe conscience makes a sound sleep.,
