Gammal kärlek rostar aldrig.,Old love never rusts.,
Gammal är äldst.,Old is oldest.,"(Jokingly) said to imply that the older generation is superior, e.g., when an older person beats a younger one at something."
Ge dig inte på berg när det finns småsten.,Don’t set about mountains when there are pebbles.,
Genom sig själv känner man andra.,A thief thinks everyone around him is a thief.,"You presume others are like yourself, including when it comes to bad characteristics."
Genvägar är ofta senvägar.,Shortcuts are often ’longcuts’.,"What you think will be a shortcut often isn’t, since you might get lost. Also used metaphorically."
Gräset är alltid grönare på andra sidan (staketet).,The grass is always greener on the far side of the hill.,"A different place, situation, job, or lifestyle always seems more attractive or appealing than your own."
Gräv där du står.,Bloom where you are planted.,It is often best to build up upon the prowess and expertise you already have.
"Guld blindar många, kärleken blindar alla.","Gold blinds many, love blinds all.",
Gå inte över ån efter vatten.,Do not cross the brook for water.,Do not do things in a needlessly laborious or complicated way.
Gör inte en höna av en fjäder.,Don’t make a mountain out of a molehill.,Do not blow things out of proportion.
"Gör om, gör rätt.","If at first you don’t succeed, try, try again.","If you possess the ability to learn from your mistakes, then failure is literally impossible, because each rejection brings you closer to perfection."
