Han har varit I Rom men inte sett Påven.,He was in Rome and did not see the pope.,
Har man sagt A får man säga B.,"Who says ""A"" must say ""B"".","If you say or do one thing, you must be prepared to do or say what logically follows."
Har man tagit fan i båten får man ro honom i land.,"Better never begun, as never ended.",
Hastig rikedom gör mannen misstänkt.,No one gets rich quickly if he is honest.,
Hellre en fågel i handen än tio i skogen.,A bird in the hand is worth two in the bush.,"Something you have for certain now is of more value than something better you may get, especially if you risk losing what you have in order to get it."
Hellre fria en skyldig än fälla en oskyldig.,It is better to free someone guilty than to convict someone innocent.,
Hoppet är det sista som lämnar människan.,Hope is the last thing to leave a human being.,
Hungern är bästa kryddan.,Hunger is the best flavouring.,
Hur man än vänder sig har man ändan bak.,Whichever way you turn you have your end in the back.,Used to express frustration things seems to go wrong no matter what you do.
Hut går hem.,Hoots goes home.,"If you treat others in a bad way, you are likely to be treated in a bad way yourself."
Huvudkudden är bästa rådgivaren.,Take counsel of one’s pillow.,
Hälsan tiger still.,Health is quietly keeping silent [sic!].,Those who are healthy do not appreciate it.
Hämnden är ljuv.,Revenge is sweet.,
Högmod går före fall.,Pride goes before fall.,
