"Älska mig när jag minst av allt förtjänar det, för det är då jag behöver det som mest.","Love me when I least deserve it, because that is when I need it the most.",
Ändamålet helgar medlen.,The end justifies the means.,"Any course of action, however immoral or unscrupulous, is justifiable if it achieves a worthy objective."
Äpplet faller inte långt från trädet.,The apple does not fall far from the tree.,Children observe daily and—in their behaviour—often follow the example of their parents.
"Är det inte det ena så är det det andra, sa flickan som blödde näsblod.",‘If it isn’t one thing it’s the other’ said the girl with a nosebleed.,There is always something to be dissatisfied with.
Är huvudet dumt får kroppen lida.,"If the head is dumb, the body suffers.",Said when someone hurts him or herself through a foolish act.
Ärlighet varar längst.,Honesty is the best policy.,Being honest or telling the truth is always the wisest course of action.
Äras den som äras bör.,Give credit where credit is due.,
Äta bör man annars dör man.,One should eat or one dies.,
Även den bäste kan fela.,A good marksman may miss.,
Även dåren tros vis om han tiger.,Even a fool when he holdeth his peace is counted wise.,
Även en blind höna kan hitta ett korn.,Even a blind pig may occasionally pick up an acorn.,An incompetent person or an unsystematic approach is bound to succeed every now and then by chance.
Även små grytor har öron.,Little pitchers have big ears.,Children often understand more than one might think.
Även solen har sina fläckar.,Every rose has its thorns.,No one is perfect.
