Delad glädje är dubbel glädje (och delad sorg är halv sorg).,"Joy shared, joy doubled: sorrow shared, sorrow halved.",
"Den dagen, den sorgen.",Cross your bridges when you reach them.,
Den drucknes tal är den nyktres tankar.,The drunken man’s words is the sober man’s thoughts.,
"Den enes död, den andres bröd.",One man’s meat is another man’s poison.,
Den som alltid vet bäst lär sig aldrig något.,He who always knows best never learns.,
"Den som gapar efter mycket, mister ofta hela stycket.","Grasp all, lose all.","One who wants everything, may lose it all."
"Den som ger sig in i leken, får leken tåla.",He that would have eggs must endure the cackling of hens.,
Den som gräver en grop åt andra faller ofta själv däri.,"He who digs a pit for others, often falls into it himself.",
Den som lever får se.,Only time will tell.,
Den som sover syndar icke.,"Criticism is something you can avoid by saying nothing, doing nothing and being nothing.",
Den som spar han har.,"Waste not, want not.",
Den som tiger han samtycker.,He who stays quiet consents.,
Den som viskar han ljuger.,He who whispers lies.,
"Den som väntar på något gott, väntar aldrig för länge.",He who waits for something good never waits too long.,
Den spik som sticker ut blir slagen.,The nail that sticks out gets struck.,
Den som är fri från synd skall kasta första stenen.,Let him who is without sin cast the first stone.,
Det angår också dig när det brinner i grannens vägg.,"It concerns you, too, when your neighbor’s wall is on fire.",
Det blir aldrig som man tänkt sig.,Things never turn out the way you imagined.,
Det blir som det blir.,We must take things as we find them.,
Det dunkelt sagda är det dunkelt tänkta.,What is unclearly said is unclearly thought.,
"Det finns inget dåligt väder, bara dåliga kläder.","There’s no such thing as bad weather, only the wrong clothes.",
Det gäller att smida medan järnet är varmt.,Strike while the iron is hot.,
Det kommer inga stekta sparvar flygande i din mun.,Birds fly not into our mouth ready roasted.,
Det man inte har i huvudet får man ha i benen.,A forgetful head makes a weary pair of heels.,
Det man inte vet mår man inte dåligt av.,What you do not know does not hurt you.,
Det man förlorar på gungorna tar man igen på karusellen.,What you lose on the swings you gain on the roundabouts.,
Det ska böjas i tid det som krokigt ska bli.,Soon crooks the tree that good gambrel would be.,
Det som börjar med en knappnål slutar oftast med en silverskål,He that steals an egg will steal an ox.,
"Det som inte dödar, härdar.","That which does not kill you, makes you stronger. Pain is gain.",
Det som göms i snö kommer fram vid tö.,What is hidden in snow is revealed at thaw.,
Det vattnet du hämtar ur bäcken lär dig känna källan.,The water you collect from the stream teaches you about its source.,
"Det viktigaste är inte att vinna, utan att kämpa väl.","The most important thing is not to win, but to fight well.",
Det är aldrig för sent.,It is never too late.,
Det är bäst att bita i det sura äpplet.,"Better hold with the hound, as run with the hare.",
Det är inte ens fel när två träter.,It takes two to make a quarrel.,
Det är lätt att skära breda remsor av andras läder.,Men cut large thongs of other men’s leather.,"This Proverb aims at all thoſe Perſons, who, niggardly to an Exceſs of their own, would fain gain the Character of Generous or Charitable at other People’s Expences, and ſo are very liberal of other People’s Pockets to ſave their own, either in Donations of Amity or Alms."
Det är lätt att vara efterklok.,It’s easy to be wise after the event.,"With hindsight it is easy to see what went wrong or what should have been done, but this is of no practical purpose."
Det är mänskligt att fela men gudomligt att förlåta.,"To err is human; to forgive, divine.",
Det är saligare att giva än att taga.,It is more blissful to give than to receive.,"The act of giving is more worthy, noble and spiritually satisfying than the act of receiving,"
Det är skönare lyss till den sträng som brast än att aldrig spänna en båge.,It is fairer to listen to the string that broke than to never strain a bow.,It is better to fail than to never have tried.
Det är som mörkast innan gryningen.,It’s always darkest before the dawn.,
Det är tanken som räknas.,It’s the thought that counts.,Good intentions make up for a bad outcome.
Dra inte alla över en kam.,Do not pull everyone over with a comb.,Do not stereotype.
Dra sitt strå till stacken,We ourselves feel that what we are doing is just a drop in the ocean. But the ocean would be less because of that missing drop.,To do one’s share of a work at hand (usually for a good cause).
Droppen kan urholka stenen.,Constant dripping wears the stone.,
Där vinet går in går vettet ut.,Where wine enters sense leaves.,
