Man måste lära sig krypa innan man kan gå.,Learn to walk before you can run.,It is necessary to learn the basics before progressing to more advanced things.
Magen mättas förr än ögat.,The eye is bigger than the belly.,
Man får ta saken i egna händer.,One must take matters into one’s own hands.,"If something is bugging you, take care of the problem yourself."
Man får ta seden dit man kommer.,"When in Rome, do as the Romans; When among wolves you must howl.",
Man har aldrig roligare än vad man gör sig.,You never have more fun than what you do.,How much fun you have depends on what you choose to do.
Man hör vad man vill höra.,None is as deaf as he who does not want to hear.,
Man lär så länge man lever.,One learns as long as one lives.,
Man lär sig av misstagen.,One learns from mistakes.,
Man kan inte både äta kakan och ha kakan kvar.,You can’t have your cake and eat it too.,You cannot do two mutually incompatible things at the same time.
Man kan inte lära gamla hundar sitta.,You can’t teach an old dog new tricks.,Old people are often unwilling or unable to learn new skills or adopt new methods.
Man måste rätta munnen efter matsäcken.,Cut your cloak according to your cloth.,You have to match your revenues with your expenses.
Man saknar inte kon förrän båset är tomt.,You never miss the well till it runs dry.,"We tend to take some things for granted, and become aware of their value only when they are no longer available."
Man ska inte bjuda bagarbarn på bullar.,One should not offer cinnamon rolls to baker’s children.,Avoid doing redundant things.
Man skall inte byta häst mitt i strömmen.,Don’t change horses in midstream.,It is often wise not to quit an undertaking already begun.
Man ska inte buga för dumheten bara för att den är gammal.,Might is not always right.,"Authorities, old customs and old institutions might be in the wrong."
Man ska inte döma hunden efter håren.,Never judge a book by its cover; Never judge by appearances.,Do not make a judgment about something or somebody on the basis of outward appearance alone.
Man ska inte gjuta olja på elden.,Don’t add fuel to the fire.,One should not make a bad situation even worse by an improper remark.
Man ska inte gråta över spilld mjölk.,Do not weep over spilled milk.,Dwelling on past mishaps will only waste your time.
Man tröttnar aldrig på att arbeta för sig själv.,A man does not feel a burden of his own choosing.,
Man är alltid sig själv närmast.,Skin is nearer than the skirt.,When you make decisions you choose which is best for yourself rather than taking into consideration ethical or ideological convictions.
"Medan gräset gror, dör kon.",While the grass grows the steed starves.,
Mister du en så står dig tusen åter.,There are plenty of fish in the sea.,"Usually used concerning broken hearts. There is also a continuation for it: Väljer du en så är det tusen som gråter. (If you choose one, a thousand will cry.)."
Morgonstund har guld i mund.,The early bird catches the worm.,
Mycket vill ha mer.,Much would have more.,"When you have much of something, you will want even more."
Måla inte fan på väggen.,Don’t paint the devil on the wall.,
"Många bäckar små, blir till en stor å.",Small streams make great rivers.,
Många hugg fälla eken.,Many strokes cut down great oaks.,"A difficult task, e. g. removing a person/group from a strong position, or changing established ideas cannot be done quickly. It can be achieved gradually, by small steps, a little at a time."
"Människan spår, men gud rår.","Man proposes, God disposes.",
