Ta tjuren vid hornen.,Grab the bull by its horns.,To directly tackle a difficult problem.
"Tala är silver, tiga är guld.",Silence is golden.,
Tala med bönder på bönders vis och med de lärde på latin.,"Speak with farmers like farmers speak, and with the educated in latin.",Adjust your message after the receivers ability to understand what you are saying
Tiden går fort när man har roligt.,Time passes by quickly when you are enjoying yourself.,
Tiden läker alla sår.,Time heals all wounds.,
Tillfället gör tjuven.,Opportunity makes the thief.,
Tomma tunnor skramlar mest.,It’s the empty can that makes the most noise.,It is not he who advertises for himself the most that can achieve the greatest results.
Trägen vinner.,God is with those who persevere; Persevere and never fear.,
Tron kan försätta berg.,Faith will move mountains.,"Nothing is impossible to those who have sufficient faith; applied not only to religious faith, but to any strong belief in a cause or objective."
Tänk efter före.,Look before you leap.,
Två fel gör inte ett rätt.,Two wrongs do not make a right.,"Wrongdoing is always unacceptable, even if another person has done the same thing."
Tålamod är konsten att hoppas.,Patience is the art of hoping.,
